order_id,customer_id,store_id,order_date,payment_method,status
ORD000001,C00018,ST005,2026-07-08 12:42:07,e-wallet,completed
ORD000002,C00027,ST003,2026-07-08 13:15:24,credit_card,pending
ORD000003,C00016,ST002,2026-07-08 13:15:44,bank_transfer,completed
ORD000004,C00012,ST004,2026-07-08 13:20:29,e-wallet,cancelled
ORD000005,C00029,ST003,2026-07-08 13:14:37,bank_transfer,cancelled
ORD000006,C00031,ST002,2026-07-08 12:45:21,qris,pending
ORD000007,C00018,ST003,2026-07-08 12:36:10,credit_card,pending
ORD000008,C00001,ST002,2026-07-08 12:57:10,cod,pending
ORD000009,C00006,ST003,2026-07-08 12:57:33,cod,pending
ORD000010,C00007,ST004,2026-07-08 12:55:58,cod,pending
ORD000011,C00017,ST005,2026-07-08 12:53:20,credit_card,pending
ORD000012,C00015,ST004,2026-07-08 12:56:20,qris,pending
ORD000013,C00023,ST002,2026-07-08 13:14:52,cod,completed
ORD000013,C00023,ST002,2026-07-08 13:14:52,cod,pending
ORD000014,C00010,ST001,2026-07-08 12:40:07,e-wallet,pending
ORD000001,C00018,ST005,2026-07-08 12:42:07,e-wallet,completed
ORD000003,C00016,ST002,2026-07-08 13:15:44,bank_transfer,completed
ORD000013,C00023,ST002,2026-07-08 13:14:52,cod,completed
